colombo,1
scoprirlo,1
lindie,1
occidentali,2
glacquisti,1
accresciuti,1
poi,2
fernando,1
cortese,1
pizzarro,1
valorosi,1
capitani,1
diuerse,2
dette,1
indie,1
carlo,1
imp,1
inventione,2
fabricar,1
fortezze,3
varie,3
forme,1
qvalvnqve,1
piano,1
monte,2
acqua,1
osseruare,1
esse,2
giouan,2
belici,1
presidiar,1
guardar,1
bisogno,1
lor,2
mantenimento,1
fortificatione,3
maggi,2
capitan,4
iacomo,1
castriotto,2
alloggiamenti,1
esserciti,1
montemellino,1
borgo,1
dellordinanze,1
ouero,1
battaglie,1
gioavacchino,1
coniano,1
ragionamento,2
sudetto,1
francia,1
applicamento,1
dispositione,1
elocvtione,1
propriamente,1
serve,2
scrittore,2
epistole,1
latine,2
volgari,2
ritratto,1
tavole,1
oratio,1
toscanella,1
virtv,2
delloratione,1
familiari,1
tvllio,1
cicerone,1
daltri,1
avtori,1
castella,1
condicione,1
deche,1
livio,1
padovano,1
historie,1
romane,2
tradotte,1
iacopo,1
nardi,1
riuedute,1
emendate,1
parimente,2
accresciute,1
etappresso,1
ualuta,1
ridotta,1
pregio,1
relatione,2
dellantica,1
nobile,1
cesena,1
cesare,1
brissio,1
riformato,1
facile,1
metodo,1
indicibile,1
lucida,1
breuità,1
può,2
ciascuno,1
facilissimamente,2
imparare,1
negromante,1
raggvaglio,1
dalcvne,1
missioni,1
dellindie,1
orientali,1
avvisi,1
cina,1
anno,1
1586,1
larrivo,1
signori,4
giaponesi,1
nellindia,1
francisci,2
toleti,2
societatis,1
iesu,1
cum,2
quaestionibus,1
tres,3
aristotelis,3
anima,2
suessanus,1
beatitudine,2
animae,2
euthici,1
augustini,3
niphi,1
philotei,1
suessani,2
auerrois,1
aetatis,1
nostrae,1
decus,1
sanctum,1
maurum,1
patritium,1
venetum,1
naturae,1
interpretem,1
nyphi,1
medices,1
intellectu,1
sex,1
eiusdem,1
demonibus,1
quadragesimali,1
rmo,1
monsor,1
cornelio,3
mvsso,3
correnti,1
quresima,1
sabati,1
dellautore,1
aggiunta,1
stampate,1
monsigor,1
pasqua,1
martedi,1
iiij,1
domenica,1
lezzioni,1
diciannove,1
rvt,1
scisma,1
anglicano,1
glorioso,1
martirio,1
bpf,1
foresta,1
martiri,1
dinghilterra,1
persecutione,1
denrico,1
ottavo,1
cento,2
passione,1
signore,1
svmma,1
totivs,1
theologiae,1
thomæ,10
aquino,1
cvm,5
elvcidationibvs,5
formalibvs,5
seraphinvm,5
capponi,5
porrecta,5
editis,5
accessere,5
porrò,5
luculentissima,5
subtilissimaq́,5
vio,5
caietani,6
adsunt,1
opuscula,1
illa,1
eruditissima,1
quae,2
admodum,1
chrysostomus,1
iauellus,1
primum,1
tractatum,1
primae,1
partis,1
composuit,1
colligantur,1
his,1
quodlibeta,1
hunnaei,1
axiomata,1
sacramentis,2
ecclesiae,1
catechismus,1
pars,3
tertia,2
aqvino,4
salvatore,1
secvnda,1
secvndae,2
giovambattista,1
palatino,1
cittadino,1
romano,1
nelqual,1
sinsegna,2
scriver,1
forte,1
vespasiano,1
amphiareo,1
ferrara,3
scrivere,1
sorti,1
massime,1
bastarda,1
lvi,1
novamente,1
ritrovata,1
laqval,1
cancellaresco,1
mercantesco,1
far,1
linchiostro,1
negrissimo,1
macinar,1
scriuere,3
esso,1
lazurro,1
cinaprio,1
pretiosa,1
margarita,1
novella,1
thesavro,1
pretiosissimo,1
philosophorvm,1
lapide,1
artis,1
huius,1
diuinae,1
typus,1
methodus,1
collectanea,1
arnaldo,1
rhaymundo,1
rhasi,1
alberto,1
michaele,1
scoto,1
logicae,2
chrysostomi,1
iavelli,1
ordinis,1
praedicatorum,1
compendium,1
doctrina,1
iuxta,1
librorum,1
ordinem,1
mirabili,1
breuitate,1
confectum,1
omnia,1
multo,1
quam,1
antea,1
sunt,1
nobis,1
accuratius,1
emendata,1
scrimia,1
scientia,1
givstificatione,1
richardo,1
merode,1
querella,1
roderigo,1
benauides,1
camillo,1
agrippa,1
milanese,1
trasportar,1
gvglia,1
san,1
adoprar,1
sicvramente,1
larme,1
offesa,1
attioni,1
dellillvst,1
conte,2
givlio,1
landi,1
